Longitude Bin,Latitude Bin,Longitude,Latitude,"PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3"
"(-1.8001136613793103, -1.8000984920689655]","(53.805612941322316, 53.80562189504133]",,,,,
"(-1.8001136613793103, -1.8000984920689655]","(53.80562189504133, 53.80563084876033]",,,,,
"(-1.8001136613793103, -1.8000984920689655]","(53.80563084876033, 53.80563980247934]",,,,,
"(-1.8001136613793103, -1.8000984920689655]","(53.80563980247934, 53.80564875619835]",,,,,
"(-1.8001136613793103, -1.8000984920689655]","(53.80564875619835, 53.805657709917355]",,,,,
"(-1.8001136613793103, -1.8000984920689655]","(53.805657709917355, 53.805666663636366]",,,,,
"(-1.8001136613793103, -1.8000984920689655]","(53.805666663636366, 53.80567561735538]",,,,,
"(-1.8001136613793103, -1.8000984920689655]","(53.80567561735538, 53.80568457107438]",,,,,
"(-1.8001136613793103, -1.8000984920689655]","(53.80568457107438, 53.80569352479339]",,,,,
"(-1.8001136613793103, -1.8000984920689655]","(53.80569352479339, 53.8057024785124]",,,,,
"(-1.8001136613793103, -1.8000984920689655]","(53.8057024785124, 53.805711432231405]",,,,,
"(-1.8001136613793103, -1.8000984920689655]","(53.805711432231405, 53.805720385950416]",,,,,
"(-1.8001136613793103, -1.8000984920689655]","(53.805720385950416, 53.805729339669426]",,,,,
